,Identifier,Site,Country,Region,Data origin,Uncal.Dates,Cal.Dates,Approx. age,Phase,Bead diameter (mm),Aperture diameter (mm),Shell thickness (mm),Reference(s)
1315,WW S22 4AI #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.19,1.65,1.66,85-87
1432,WW T23 4DI #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,9130,10247,10247,4,4.57,1.65,1.53,85-87
1451,WW T25 3AIII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.63,1.65,1.61,85-87
766,NBC R64/65  30.12.64 E IV/14 #,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3500,4,3.68,1.66,1.12,"78,79"
515,KPL Tr.3 N16 C.14 1-793 (#42),Kakapel Rockshelter,Kenya,Eastern Africa,Newly presented,,,7000,4,5.46,1.66,1.94,Goldstein et al. forthcoming
675,NBC 65/66 AO M-BABS #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1000,5,5.34,1.66,1.39,"78,79"
1433,WW T23 4DI #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,9130,10247,10247,4,4.64,1.66,1.57,85-87
10,APOLLO 261 A8X^4/+29 LSA,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,6000,4,5.36,1.66,1.91,56-58
347,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.22,1.66,1.4,"60,67"
719,NBC 79 WILFRED SQ6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,4.54,1.66,1.66,"78,79"
754,NBC R 65/66 YI DAN #17,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,4.55,1.66,1.30,"78,79"
1403,WW S34 4A+B #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,3.20,1.66,1.35,85-87
97,EYM DBS1.1 #1,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,5220,5992,5992,4,5.56,1.66,N/A,63
538,NBC /66 YI BRETT #27,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,5.33,1.66,1.67,"78,79"
862,NBC R65/66 AO CHARLES #8,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,3.66,1.66,1.19,"78,79"
