,Identifier,Site,Country,Region,Data origin,Uncal.Dates,Cal.Dates,Approx. age,Phase,Bead diameter (mm),Aperture diameter (mm),Shell thickness (mm),Reference(s)
1496,WW T29 3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.03,1.99,1.39,85-87
695,NBC '79 SQ 5  VERONICA #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6400,4,4.35,1.99,1.39,"78,79"
699,NBC '79 SQ5 VADIM #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,5320,6073,6073,4,4.94,1.99,1.72,"78,79"
1197,WW O21 4D #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,9130,10247,10247,4,5.67,1.99,2.03,85-87
28,APOLLO 285 A8x^3/+18,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,16000,3,4.80,1.99,1.63,56-58
361,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.79,1.99,1.51,"60,67"
393,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.88,1.99,1.68,"60,67"
460,HxJf1 Tp12 0-50 Furnace Feature,Magubike Rockshelter,Tanzania,Eastern Africa,Newly presented,,,1000,5,8.67,1.99,2.06,"33,70,71"
1237,WW Q21 2B #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,4.60,1.99,1.51,85-87
38,"BC S19 LEVEL 1WA ""39 circled""",Border Cave,South Africa,Southern Africa,Newly presented,38608,42538,42538,1,7.52,2.00,1.75,"14,59"
619,NBC 21.1.71 BO Upper GEOFF #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,3190,3425,3425,4,4.26,2.00,1.23,"78,79"
1399,WW S32 5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,12000,3,5.50,2.00,1.67,85-87
165,EYMU-05 5 III (4) #1,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,600,5,6.48,2.00,1.57,75-77
624,NBC 21.2.79 SQ7 WADE,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,4.57,2.00,1.37,"78,79"
174,EYMU-05 5 III (7) #6,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,600,5,5.69,2.01,1.74,75-77
935,NBC R65/66 YI BETTY#3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.84,2.01,1.60,"78,79"
8,APOLLO 254 A8X^4/+29 LSA,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,6000,4,5.21,2.01,1.93,56-58
305,Grassride TP,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,12550,3,3.87,2.01,1.70,"60,67"
465,HxJf1 Tp12 50-60,Magubike Rockshelter,Tanzania,Eastern Africa,Newly presented,,,22000,2,7.46,2.01,1.50,"33,70,71"
472,HxJf1 Tp7 10-20,Magubike Rockshelter,Tanzania,Eastern Africa,Newly presented,,,1000,5,5.39,2.01,1.35,"33,70,71"
216,EYMU-05 5 III 4(6) #13,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,8000,4,4.60,2.02,1.62,75-77
944,NBC R65/66 YI DAN #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,5.22,2.02,1.45,"78,79"
1030,NBC XO BRETT #14,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,4.40,2.02,1.05,"78,79"
611,NBC 20.2.79 WADE SQ6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,4.85,2.02,1.41,"78,79"
1468,WW T26 4AII #7,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.27,2.02,1.39,85-87
627,NBC 23.12.70 B-I BOB #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2560,2609,2609,4,4.41,2.03,1.51,"78,79"
718,NBC 79 VERITY SQ6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,4.70,2.03,1.56,"78,79"
1251,WW Q23 4AV #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4890,5524,5524,4,5.61,2.03,1.79,85-87
402,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.63,2.03,1.73,"60,67"
403,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.91,2.03,1.73,"60,67"
854,NBC R65/66 AO CHARLES #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,4.53,2.03,1.22,"78,79"
170,EYMU-05 5 III (7) #2,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,600,5,7.03,2.04,1.68,75-77
208,EYMU-05 5 III 3(5) #3,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,6420,6420,4,6.40,2.04,2.00,75-77
536,NBC /66 YI BRETT #25,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,5.63,2.04,1.72,"78,79"
831,NBC R65/66 AI BILL #20,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,850,611,611,5,3.87,2.04,1.63,"78,79"
1211,WW O24 4D #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,9130,10247,10247,4,4.54,2.04,1.38,85-87
1486,WW T28 3AII #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,5.19,2.04,1.52,85-87
99,EYM DBS1.3 #1,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,5470,6251,6251,4,5.98,2.04,N/A,63
313,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.49,2.04,1.05,"60,67"
377,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.14,2.04,1.57,"60,67"
524,NBC /66 YI BRETT #14,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,6.65,2.04,1.77,"78,79"
687,NBC 70.71 CII DAVID #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2970,3116,3116,4,4.79,2.04,1.16,"78,79"
780,NBC R65.66 AO BOB #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2560,2609,2609,4,4.88,2.04,1.67,"78,79"
586,NBC 13.1.71 Y-IV DAVID #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2970,3116,3116,4,5.79,2.05,1.21,"78,79"
1222,WW P21 4B #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,5.56,2.05,1.89,85-87
892,NBC R65/66 CIII BERT,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2950,3098,3098,4,4.81,2.05,1.79,"78,79"
578,NBC /66 YI BRETT #8,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,6.01,2.06,1.77,"78,79"
712,NBC '79 SQ7 WILLEY #8,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,4.41,2.06,1.36,"78,79"
1435,WW T24 2B #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,4.93,2.06,1.50,85-87
1,APOLLO 102 A8/+12 ELSA,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,15000,3,6.96,2.06,1.55,56-58
1025,NBC XO BRETT #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,6.93,2.06,1.54,"78,79"
1357,WW S26 4CIII,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,4.88,2.06,1.47,85-87
306,Grassride TP,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,12550,3,4.98,2.06,1.75,"60,67"
319,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.43,2.06,1.13,"60,67"
936,NBC R65/66 YI BETTY#4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.73,2.06,1.43,"78,79"
954,NBC R66 YI BRETT/BONNIE #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,1930,1859,1859,5,5.08,2.06,1.16,"78,79"
158,EYM RBL2.2.2a #1,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,5265,6038,6038,4,5.92,2.07,N/A,63
26,APOLLO 283 A8x^3/+18,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,16000,3,5.01,2.07,1.60,56-58
314,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.39,2.07,1.07,"60,67"
722,NBC 8.1.71 BO EDWARD #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3100,4,5.13,2.07,1.52,"78,79"
527,NBC /66 YI BRETT #17,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,6.40,2.07,1.78,"78,79"
1192,WW O21 4C #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,5.79,2.07,1.47,85-87
717,NBC 79 VANESSA SQ6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,5.04,2.08,1.75,"78,79"
924,NBC R65/66 YI BETTY#17,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.01,2.08,0.87,"78,79"
1228,WW P22 4B #7,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,5.25,2.08,1.64,85-87
168,EYMU-05 5 III (4) #4,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,600,5,5.69,2.08,1.68,75-77
351,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.65,2.08,1.42,"60,67"
413,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,5.08,2.08,1.8,"60,67"
205,EYMU-05 5 III 2(5) #2,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,1812,1812,5,8.06,2.09,1.82,75-77
551,NBC /66 YI BRETT #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,6.67,2.09,1.66,"78,79"
800,NBC R65/66 A0 BETTY #6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.41,2.09,1.28,"78,79"
140,EYM RBL2.1B5 #1,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,4860,5601,5601,4,5.48,2.09,N/A,63
743,NBC DII CEDRIC,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,5.54,2.09,1.44,"78,79"
949,NBC R65/66 YO BRETT #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,5.15,2.09,1.69,"78,79"
1344,WW S25 2B #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,1210,1110,1110,5,4.04,2.09,1.26,85-87
130,EYM RBL2.1B2 #12,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,3990,4466,4466,4,6.05,2.10,N/A,63
133,EYM RBL2.1B2 #3,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,3990,4466,4466,4,5.78,2.10,N/A,63
277,EYMU-05 8 III 2(3) #1,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,1812,1812,5,7.70,2.10,1.90,75-77
539,NBC /66 YI BRETT #28,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,5.65,2.10,1.61,"78,79"
1234,WW P23 4B #7,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,5.25,2.10,1.41,85-87
1346,WW S25 3AII,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,4.01,2.10,1.25,85-87
348,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.30,2.10,1.4,"60,67"
916,NBC R65/66 YI BETTY#1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,5.25,2.10,1.55,"78,79"
27,APOLLO 284 A8x^3/+18,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,16000,3,4.24,2.11,1.79,56-58
199,EYMU-05 5 III 2(3) #3,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,1812,1812,5,5.65,2.11,1.70,75-77
310,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.12,2.11,0.95,"60,67"
365,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,5.34,2.11,1.53,"60,67"
679,NBC 7.1.71 A-1 CEDRIC #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2400,5,4.24,2.11,1.46,"78,79"
995,NBC XO BETTY #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,5.10,2.11,1.25,"78,79"
1414,WW T22 3AI #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,2005,1919,1919,5,3.94,2.11,1.30,85-87
602,NBC 18.1.71 CII EDWARD #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3100,4,4.83,2.11,1.19,"78,79"
139,EYM RBL2.1B2 #9,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,3990,4466,4466,4,5.81,2.12,N/A,63
548,NBC /66 YI BRETT #37,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,4.57,2.12,1.27,"78,79"
1188,WW O21 3 #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.94,2.12,1.31,85-87
1212,WW O25 4DI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,9130,10247,10247,4,5.41,2.12,1.55,85-87
1443,WW T24 4BII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,5180,5951,5951,4,4.91,2.12,1.60,85-87
1495,WW T28 4AII #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,4.55,2.12,1.44,85-87
132,EYM RBL2.1B2 #2,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,3990,4466,4466,4,5.14,2.12,N/A,63
134,EYM RBL2.1B2 #4,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,3990,4466,4466,4,5.72,2.12,N/A,63
589,NBC 14.1.71 AI/BI EDWARD,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3100,4,4.46,2.12,1.32,"78,79"
1160,WW 4A LH ? #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4890,5524,5524,4,5.77,2.12,1.84,85-87
9,APOLLO 260 A8X^4/+29 LSA,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,6000,4,5.20,2.13,1.85,56-58
186,EYMU-05 5 III 2 #6,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,1812,1812,5,5.83,2.13,1.55,75-77
656,NBC 31.1.79 SQ2 LOUIS,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,3500,4,4.28,2.13,1.35,"78,79"
777,NBC R64/65 EV/16,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.16,2.13,1.46,"78,79"
945,NBC R65/66 YI DAN #4,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2925,3067,3067,4,5.46,2.13,1.30,"78,79"
1321,WW S22 4CII  #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,4.43,2.13,1.51,85-87
1457,WW T25 4CII #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,4.71,2.13,1.44,85-87
254,EYMU-05 5 III 7(10) #8,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,26000,2,5.51,2.13,N/A,75-77
340,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.48,2.13,1.33,"60,67"
356,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.96,2.13,1.49,"60,67"
774,NBC R64/65 EIV/2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.97,2.13,1.63,"78,79"
1198,WW O21 4D #5,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,9130,10247,10247,4,5.63,2.13,1.70,85-87
3,APOLLO 236 A8X^4/+26,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,14870,14870,3,4.75,2.14,1.17,56-58
25,APOLLO 282 A8x^3/+18,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,16000,3,4.93,2.14,1.46,56-58
426,HwJf2 I10 2NW,Mlambalasi Rockshelter,Tanzania,Eastern Africa,Newly presented,,,200,5,4.98,2.14,1.46,72-74
928,NBC R65/66 YI BETTY#20,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,3.71,2.14,0.89,"78,79"
938,NBC R65/66 YI BETTY#6,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.49,2.14,1.11,"78,79"
1297,WW R24 4A LH,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4890,5524,5524,4,5.58,2.14,1.70,85-87
370,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.50,2.14,1.54,"60,67"
405,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.95,2.14,1.75,"60,67"
532,NBC /66 YI BRETT #21,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,6.17,2.14,1.76,"78,79"
1465,WW T26 4A LH #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4890,5524,5524,4,5.17,2.14,1.51,85-87
705,NBC '79 SQ7 WILLEY #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6700,4,5.03,2.15,1.79,"78,79"
828,NBC R65/66 AI BILL #18,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,850,611,611,5,4.23,2.15,1.22,"78,79"
549,NBC /66 YI BRETT #38,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,4.32,2.15,1.17,"78,79"
1513,WW T32 4A+B #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,4.31,2.15,1.62,85-87
1202,WW O23 4A #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,5.05,2.16,1.47,85-87
92,EYM DBL1.4 #5,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,39900,43448,43448,1,6.15,2.16,N/A,63
189,EYMU-05 5 III 2(2) #1,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,1812,1812,5,8.13,2.17,2.05,75-77
613,NBC 20.7.65 R65/66 BII BERT #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2950,3098,3098,4,4.71,2.17,1.37,"78,79"
671,NBC 65 5.1.66 AO BRETT #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,7.82,2.17,1.46,"78,79"
973,NBC XO BETTY #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.92,2.17,1.32,"78,79"
1396,WW S31 4C,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,5.31,2.17,1.47,85-87
96,EYM DBL1.4 #9,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,39900,43448,43448,1,6.67,2.17,N/A,63
303,Grassride TP,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,12550,3,3.69,2.17,1.62,"60,67"
366,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.43,2.17,1.53,"60,67"
125,EYM RBL2.1B1 #5,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,4535,5184,5184,4,5.42,2.18,N/A,63
694,NBC '79 SQ 5  VERONICA #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,6400,4,4.69,2.18,1.30,"78,79"
1208,WW O24 4C #1,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,5.74,2.18,1.93,85-87
1226,WW P22 4A,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,4240,4710,4710,4,5.07,2.18,1.56,85-87
131,EYM RBL2.1B2 #13,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,3990,4466,4466,4,5.92,2.18,N/A,63
192,EYMU-05 5 III 2(2) #12,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,1812,1812,5,6.63,2.18,2.12,75-77
1195,WW O21 4D #2,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,9130,10247,10247,4,5.75,2.18,1.93,85-87
1481,WW T27 4CI,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,6700,7483,7483,4,4.98,2.18,1.23,85-87
315,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.36,2.18,1.1,"60,67"
984,NBC XO BETTY #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,5.13,2.19,1.57,"78,79"
378,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.95,2.19,1.57,"60,67"
457,HxJf1 Tp10 0-10 #2,Magubike Rockshelter,Tanzania,Eastern Africa,Newly presented,,,1000,5,4.97,2.19,1.58,"33,70,71"
78,"DMB3 Unit1 L4 (21.8.12) ""from sieve"" #1",Daumboy 3 Rockshelter,Tanzania,Eastern Africa,Newly presented,9280,10620,10620,4,6.34,2.19,2.14,62
194,EYMU-05 5 III 2(2) #2,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,1812,1812,5,7.19,2.20,2.16,75-77
817,NBC R65/66 AI BETTY #7,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.25,2.20,1.30,"78,79"
155,EYM RBL2.2.1 #4,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,5265,6038,6038,4,6.21,2.20,N/A,63
207,EYMU-05 5 III 3(5) #2,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,6420,6420,4,6.96,2.21,1.84,75-77
1196,WW O21 4D #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,9130,10247,10247,4,5.87,2.21,1.59,85-87
323,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.65,2.21,1.18,"60,67"
415,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,5.15,2.21,1.84,"60,67"
871,NBC R65/66 BII CARMEL #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,5.07,2.21,1.18,"78,79"
1508,WW T31 4A+B #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,5000,4,4.97,2.21,1.62,85-87
231,EYMU-05 5 III 5(8) #13,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,15000,3,5.53,2.22,2.06,75-77
478,HxJf1 Tp8 20-30 #3,Magubike Rockshelter,Tanzania,Eastern Africa,Newly presented,,,3000,4,5.09,2.22,1.25,"33,70,71"
147,EYM RBL2.1B6 #4,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,4860,5601,5601,4,5.56,2.22,N/A,63
1047,NBC YIII DAVID #2,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2970,3116,3116,4,4.20,2.22,1.05,"78,79"
264,EYMU-05 6 II 1(1) #4,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,357,357,5,4.84,2.22,1.33,75-77
595,NBC 14.I.7I B-I GARTH,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,3020,3207,3207,4,4.85,2.22,1.50,"78,79"
940,NBC R65/66 YI BETTY#8,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.57,2.22,1.15,"78,79"
577,NBC /66 YI BRETT #7,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,6.68,2.23,1.95,"78,79"
271,EYMU-05 6 III 1(2) #2,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,844,844,5,5.66,2.23,1.46,75-77
628,NBC 23.12.70 B-I BOB #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,2560,2609,2609,4,4.53,2.23,1.36,"78,79"
143,EYM RBL2.1B5 #4,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,4860,5601,5601,4,5.40,2.23,N/A,63
357,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.70,2.23,1.49,"60,67"
444,HwJf2 J11 3NW,Mlambalasi Rockshelter,Tanzania,Eastern Africa,Newly presented,,,300,5,5.55,2.23,1.55,72-74
84,EYM DBL1.2 #1,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,29300,33592,33592,1,5.31,2.24,N/A,63
286,EYMU-05 8 III 2(4) #3,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,1812,1812,5,7.39,2.24,1.66,75-77
266,EYMU-05 6 III 1(1) #2,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,844,844,5,5.90,2.24,0.98,75-77
429,HwJf2 I10 5SW (P),Mlambalasi Rockshelter,Tanzania,Eastern Africa,Newly presented,,,500,5,6.42,2.24,1.93,72-74
819,NBC R65/66 AI BETTY #9,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.12,2.24,1.15,"78,79"
805,NBC R65/66 AI BABS #1,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1000,5,5.92,2.25,1.89,"78,79"
899,NBC R65/66 CIII CHRIS #7,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,2800,4,4.29,2.25,1.13,"78,79"
994,NBC XO BETTY #29,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,4.05,2.25,1.04,"78,79"
154,EYM RBL2.2.1 #3,Enkapune ya Muto,Kenya,Eastern Africa,Newly presented,5265,6038,6038,4,6.81,2.25,N/A,63
224,EYMU-05 5 III 4(6) #9,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,8000,4,6.56,2.25,1.55,75-77
237,EYMU-05 5 III 5(8) #26,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,15000,3,6.04,2.25,1.86,75-77
345,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,3.65,2.25,1.37,"60,67"
1050,PYS Layer 2 ,Panga ya Saidi,Kenya,Eastern Africa,Published measurements,,,750,5,4.46,2.25,1.30,"25,80"
1434,WW T23 4DI #3,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,9130,10247,10247,4,4.28,2.25,1.33,85-87
813,NBC R65/66 AI BETTY #3,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,455,507,507,5,5.00,2.26,1.49,"78,79"
1217,WW P20 3 #4,Wonderwerk Cave,South Africa,Southern Africa,Newly presented,,,2500,5,4.99,2.26,1.36,85-87
29,APOLLO 286 A8x^3/+18,Apollo 11 Cave,Namibia,Southern Africa,Newly presented,,,16000,3,4.21,2.26,1.91,56-58
185,EYMU-05 5 III 2 #5,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,1812,1812,5,7.05,2.26,1.07,75-77
274,EYMU-05 8 III (2) #4,Mumba Rockshelter,Tanzania,Eastern Africa,Newly presented,,,600,5,6.16,2.26,1.84,75-77
336,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.28,2.26,1.32,"60,67"
422,Grassridge MH,Grassridge Shelter,South Africa,Southern Africa,Published measurements,,,7000,4,4.22,2.26,2.07,"60,67"
521,NBC /66 YI BRETT #11,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,6.50,2.26,1.83,"78,79"
522,NBC /66 YI BRETT #12,Nelson Bay Cave,South Africa,Southern Africa,Newly presented,,,1500,5,6.52,2.26,1.65,"78,79"
